codigo_omm,station_name,state,state_initials,region,latitude,longitude,altitude,altitude_type,start_operation_date,station_situation,data_situation
82598,NATAL,Rio_Grande_do_Norte,RN,Nordeste,-5.91,-35.2,48.60,meters,1911-01-01,operante,operante
83319,NOVA XAV  XAVANTINA,Mato_Grosso,MT,Centro-Oeste,-14.7,-52.35,316.00,meters,1987-08-05,operante,operante
82178,OBIDOS,Para,PA,Norte,-1.91,-55.51,37.00,meters,1927-01-01,operante,operante
82753,OURICURI,Pernambuco,PE,Nordeste,-7.9,-40.04,459.28,meters,1975-09-16,operante,operante
83364,PADRE RICARDO REMETTER,Mato_Grosso,MT,Centro-Oeste,-15.78,-56.06,140.00,meters,1986-01-01,operante,operante
83033,PALMAS,Tocantins,TO,Norte,-10.19,-48.3,280.00,meters,1993-10-08,operante,operante
82992,PALMEIRA DOS INDIOS,Alagoas,AL,Nosdeste,-9.44,-36.7,274.90,meters,1928-01-01,operante,operante
82990,PAO DE ACUCAR,Alagoas,AL,Nosdeste,-9.75,-37.43,19.10,meters,1927-03-14,operante,operante
83479,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.00,meters,1918-05-13,operante,operante
83844,PARANAGUA,Parana,PR,Sul,-25.53,-48.51,4.50,meters,1911-01-01,operante,operante
83565,PARANAIBA,Mato_Grosso_do_Sul,MS,Centro-Oeste,-19.75,-51.18,331.25,meters,1971-07-07,operante,operante
82240,PARINTINS,Amazonas,AM,Norte,-2.63,-56.73,29.00,meters,1912-01-01,operante,operante
82287,PARNAIBA,Piaui,PI,Nordeste,-3.08,-41.76,79.50,meters,1970-11-16,operante,operante
83914,PASSO FUNDO,Rio_Grande_do_Sul,RS,Sul,-28.21,-52.4,684.05,meters,1912-08-01,operante,operante
82791,PATOS,Paraiba,PB,Nordeste,-7.01,-37.26,249.09,meters,1975-10-17,operante,operante
83531,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28,meters,1947-10-23,operante,operante
82882,PAULISTANA,Piaui,PI,Nordeste,-8.13,-41.13,374.22,meters,1975-09-22,operante,operante
83393,PEDRA AZUL,Minas_Gerais,MG,Sudeste,-16,-41.28,648.91,meters,1918-10-01,operante,operante
82863,PEDRO AFONSO,Tocantins,TO,Norte,-8.96,-48.18,187.00,meters,1977-03-04,operante,operante
83228,PEIXE,Tocantins,TO,Norte,-12.01,-48.35,242.49,meters,1975-05-01,operante,operante
83985,PELOTAS,Rio_Grande_do_Sul,RS,Sul,-31.78,-52.41,13.00,meters,1926-01-01,operante,operante
82983,PETROLINA,Pernambuco,PE,Nordeste,-9.38,-40.48,370.46,meters,1941-01-01,operante,operante
82780,PICOS,Piaui,PI,Nordeste,-7.03,-41.48,207.93,meters,1923-11-01,operante,operante
83483,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24,meters,1912-12-23,operante,operante
83376,PIRENOPOLIS,Goias,GO,Centro-Oeste,-15.85,-48.96,740.00,meters,1977-02-17,operante,operante
82480,PIRIPIRI,Piaui,PI,Nordeste,-4.26,-41.78,161.12,meters,1976-03-09,operante,operante
83702,PONTA PORA,Mato_Grosso_do_Sul,MS,Centro-Oeste,-22.55,-55.71,650.00,meters,1941-11-24,operante,operante
83967,PORTO ALEGRE,Rio_Grande_do_Sul,RS,Sul,-30.05,-51.16,46.97,meters,1909-12-09,operante,operante
82184,PORTO DE MOZ,Para,PA,Norte,-1.73,-52.23,15.93,meters,1928-04-23,operante,operante
82996,PORTO DE PEDRAS,Alagoas,AL,Nosdeste,-9.18,-35.43,50.02,meters,1927-03-14,operante,operante
83064,PORTO NACIONAL,Tocantins,TO,Norte,-10.71,-48.41,239.20,meters,1915-01-01,operante,operante
83332,POSSE,Goias,GO,Centro-Oeste,-14.1,-46.36,825.64,meters,1975-08-04,operante,operante
83358,POXOREO,Mato_Grosso,MT,Centro-Oeste,-15.83,-54.38,450.00,meters,1978-09-18,operante,operante
83097,PROPRIA,Sergipe,SE,Nordeste,-10.21,-36.84,19.92,meters,1925-05-10,operante,operante
82586,QUIXERAMOBIM,Ceara,CE,Nordeste,-5.16,-39.28,79.50,meters,1896-01-01,operante,operante
82900,RECIFE  CURADO,Pernambuco,PE,Nordeste,-8.05,-34.95,10.00,meters,1961-07-07,operante,operante
82979,REMANSO,Bahia,BA,Nordeste,-9.63,-42.1,400.51,meters,1927-10-01,operante,operante
